id,name,legal_name,website,category,org_nr,office_in_norway,office_cities,security_staff,security_staff_basis,security_staff_is_minimum,security_staff_scope,security_staff_source,security_staff_note,employees_total,employees_source,employees_note,employees_as_of,brreg_employees,brreg_employees_as_of,delivery,delivery_source,delivery_note,specialty,capabilities,certifications,founded,former_names,notes,verification,last_verified,verified_by,sources
mnemonic,Mnemonic,MNEMONIC AS,https://www.mnemonic.no,norwegian,982089549,true,Oslo,391,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",,,,,391,2026-09-14,in-house,https://www.mnemonic.no,Delivery model recorded from the company's own description of how it staffs the work.,"Independent Norwegian security house: offensive testing, 24/7 MDR and threat intelligence.",penetration-testing; red-teaming; vulnerability-assessment; soc; incident-response; threat-intelligence; threat-hunting; malware-analysis; digital-forensics; vciso; security-architecture; ot-ics-security; security-training,,2000-05-05,,,verified,2026-09-22,@whatsdd,"https://data.brreg.no/enhetsregisteret/api/enheter/982089549 (registry, 2026-09-22); https://ahmad.science/2025/05/06/50-selskaper-som-tilbyr-sikkerhetstesting-pentest-i-norge-2025-utgaven/ (seed-list, 2026-09-22); https://ahmad.science/2023/02/24/33-pentest-firma-i-norge-sikkerhetstesting-inntrengingstesting/ (seed-list, 2026-09-22); https://www.mnemonic.no (company-site, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
netsecurity,Netsecurity,NETSECURITY AS,https://www.netsecurity.no,norwegian,993856886,true,Oslo,172,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",170,https://www.netsecurity.no/om-oss,"stated as ""170+ ansatte"" across 7 offices",2026-09-22,172,2026-09-14,in-house,https://www.netsecurity.no,Delivery model recorded from the company's own description of how it staffs the work.,Norwegian security house with one of the largest SOCs in the Nordics and its own red team.,soc; incident-response; red-teaming; penetration-testing; threat-intelligence; threat-hunting; vulnerability-assessment; digital-forensics; vciso,ISO 27001; NSM-approved incident response,2009-02-24,1-NET SECURITY AS,Registry history: 1-NET SECURITY AS -> NETSECURITY AS.,verified,2026-09-22,@whatsdd,"https://data.brreg.no/enhetsregisteret/api/enheter/993856886 (registry, 2026-09-22); https://ahmad.science/2025/05/06/50-selskaper-som-tilbyr-sikkerhetstesting-pentest-i-norge-2025-utgaven/ (seed-list, 2026-09-22); https://ahmad.science/2023/02/24/33-pentest-firma-i-norge-sikkerhetstesting-inntrengingstesting/ (seed-list, 2026-09-22); https://www.netsecurity.no (company-site, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
defendable,Defendable,DEFENDABLE AS,https://www.defendable.no,norwegian,925880140,true,Oslo,95,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",100,https://www.defendable.no/about,"stated as ""around 100 people across Norway""",2026-09-22,95,2026-08-11,in-house,https://www.defendable.no,Delivery model recorded from the company's own description of how it staffs the work.,"Norwegian MDR and incident response house, spun out of BDO Cybersecurity.",soc; incident-response; threat-intelligence; vulnerability-assessment; digital-forensics; tabletop-exercises; security-training; vciso,ISO 27001,2020-09-29,BESEC AS,Registry history: BESEC AS -> DEFENDABLE AS. The company was spun out of BDO Cybersecurity and launched as an independent company in 2021.,verified,2026-09-22,@whatsdd,"https://data.brreg.no/enhetsregisteret/api/enheter/925880140 (registry, 2026-09-22); https://ahmad.science/2025/05/06/50-selskaper-som-tilbyr-sikkerhetstesting-pentest-i-norge-2025-utgaven/ (seed-list, 2026-09-22); https://ahmad.science/2023/02/24/33-pentest-firma-i-norge-sikkerhetstesting-inntrengingstesting/ (seed-list, 2026-09-22); https://www.defendable.no (company-site, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
telenor-cyberdefence,Telenor Cyberdefence,TELENOR CYBERDEFENCE AS,https://www.telenorcyberdefence.com,norwegian,932975424,true,Fornebu,88,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",,,,,88,2026-09-14,in-house,https://www.telenorcyberdefence.com,Delivery model recorded from the company's own description of how it staffs the work.,"Telenor's security company: 24/7 SOC, incident response, testing and threat intelligence.",soc; incident-response; threat-intelligence; penetration-testing; red-teaming; vulnerability-assessment; ot-ics-security; tabletop-exercises,,2024-01-01,NFH 240157 AS; TELENOR CYBERDEFENSE AS,"Listed as ""Watchcom (now Telenor Cyberdefence)"". Telenor acquired Watchcom, and this entity carries the rename history TELENOR CYBERDEFENSE AS -> TELENOR CYBERDEFENCE AS.",verified,2026-09-22,@whatsdd,"https://data.brreg.no/enhetsregisteret/api/enheter/932975424 (registry, 2026-09-22); https://ahmad.science/2025/05/06/50-selskaper-som-tilbyr-sikkerhetstesting-pentest-i-norge-2025-utgaven/ (seed-list, 2026-09-22); https://ahmad.science/2023/02/24/33-pentest-firma-i-norge-sikkerhetstesting-inntrengingstesting/ (seed-list, 2026-09-22); https://www.telenorcyberdefence.com (company-site, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
promon,Promon,PROMON AS,https://www.promon.no,norwegian,989480138,true,Oslo,75,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",,,,,75,2026-08-12,in-house,https://www.promon.no,Delivery model recorded from the company's own description of how it staffs the work.,"Application hardening and mobile security house: app shielding, code review and testing.",application-security; mobile-security; code-review; penetration-testing; security-architecture,,2006-01-11,,,verified,2026-09-22,@whatsdd,"https://data.brreg.no/enhetsregisteret/api/enheter/989480138 (registry, 2026-09-22); https://ahmad.science/2025/05/06/50-selskaper-som-tilbyr-sikkerhetstesting-pentest-i-norge-2025-utgaven/ (seed-list, 2026-09-22); https://ahmad.science/2023/02/24/33-pentest-firma-i-norge-sikkerhetstesting-inntrengingstesting/ (seed-list, 2026-09-22); https://www.promon.no (company-site, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
sicra,Sicra,SICRA AS,https://sicra.no,norwegian,932538067,true,Oslo,54,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",,,,,54,2026-09-14,in-house,https://sicra.no,,Norwegian IT operations house with a SOC service for monitoring and response.,soc; incident-response; cloud-security; network-security; compliance,,2023-11-07,WR START UP 540 AS; SICRA 2 AS,,verified,2026-09-22,@whatsdd,"https://sicra.no (company-site, 2026-09-22); https://data.brreg.no/enhetsregisteret/api/enheter/932538067 (registry, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
nlogic,nLogic,NLOGIC AS,https://www.nlogic.no,norwegian,821678102,true,Oslo,49,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",,,,,49,2026-09-14,in-house,https://www.nlogic.no,,Norwegian cloud and security provider with 24/7 monitoring and incident response.,soc; incident-response; cloud-security; network-security; backup-recovery; compliance,,2018-09-25,NLOGIC II AS,,verified,2026-09-22,@whatsdd,"https://www.nlogic.no (company-site, 2026-09-22); https://data.brreg.no/enhetsregisteret/api/enheter/821678102 (registry, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
orange-cyberdefense,Orange Cyberdefense,ORANGE CYBERDEFENSE NORWAY AS,https://www.orangecyberdefense.com/no,nordic,981548280,true,Lysaker,43,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",,,,,43,2026-06-13,in-house,https://www.orangecyberdefense.com/no,Delivery model recorded from the company's own description of how it staffs the work.,"European security provider with a Norwegian SOC, incident response and pentest team.",soc; incident-response; penetration-testing; red-teaming; vulnerability-assessment; threat-intelligence; digital-forensics; vciso,ISO 27001,2000-02-01,GATEWAY SECURITY AS; SECURELINK NORWAY AS,Registry history: SECURELINK NORWAY AS -> GATEWAY SECURITY AS -> ORANGE CYBERDEFENSE NORWAY AS.,verified,2026-09-22,@whatsdd,"https://data.brreg.no/enhetsregisteret/api/enheter/981548280 (registry, 2026-09-22); https://ahmad.science/2025/05/06/50-selskaper-som-tilbyr-sikkerhetstesting-pentest-i-norge-2025-utgaven/ (seed-list, 2026-09-22); https://ahmad.science/2023/02/24/33-pentest-firma-i-norge-sikkerhetstesting-inntrengingstesting/ (seed-list, 2026-09-22); https://www.orangecyberdefense.com/no (company-site, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
experis,Experis,EXPERIS AS,https://www.experis.no,norwegian,982683955,true,Oslo,40,estimate,true,security-only,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"In-house security staff: 40 or more, across the consultancy's security disciplines. Guarded estimate by the list maintainer, who works at Experis, and not published by the company. It supersedes the narrower first-hand count of four penetration testers carried by the pentest editions.",700,https://www.experis.no,"stated as ""more than 700 consultants and partners""",2026-09-22,402,2026-09-14,in-house,https://www.experis.no,Delivery model recorded from the company's own description of how it staffs the work.,"IT consultancy whose security unit covers testing, training and ISO 27001 work.",penetration-testing; security-training; compliance; risk-management; identity-access-management,,2000-11-02,ELAN COMPUTING AS; ELAN IT RESOURCE AS,"Registry history: ELAN COMPUTING AS -> ELAN IT RESOURCE AS -> EXPERIS AS. The in-house security staff figure is a guarded estimate by the maintainer, who works at Experis: 40 or more across the security disciplines, which supersedes the four penetration testers counted first-hand in the pentest editions. The company publishes no security staff figure.",verified,2026-09-22,@whatsdd,"https://data.brreg.no/enhetsregisteret/api/enheter/982683955 (registry, 2026-09-22); https://ahmad.science/2025/05/06/50-selskaper-som-tilbyr-sikkerhetstesting-pentest-i-norge-2025-utgaven/ (seed-list, 2026-09-22); https://ahmad.science/2023/02/24/33-pentest-firma-i-norge-sikkerhetstesting-inntrengingstesting/ (seed-list, 2026-09-22); https://www.experis.no (company-site, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
gritera,Gritera Security,GRITERA SECURITY AS,https://gritera.com/,norwegian,832332402,true,Oslo,31,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"In-house security staff: 31 or more. Guarded estimate by the list maintainer, not published by the company: the headcount this entity filed with Enhetsregisteret, whose registered purpose is information security services only, so the whole payroll is security work.",,,,,31,2026-09-14,in-house,https://gritera.com/en/about-us/,"The company describes its own advisers as the ones doing the work, and names them on the service pages.","Information security advisory house: security governance and GRC, identity and access management, technical security, and crisis management.",risk-management; compliance; nis2-dora; identity-access-management; security-architecture; crisis-management,,2023-10-04,,"Part of the Gritera group, alongside Gritera Advisory, Analytics and Quality; this is the entity that sells the security work, which is what makes its registry headcount usable as a guarded estimate.",verified,2026-09-22,@whatsdd,"https://gritera.com/en/services/information-security/ (company-site, 2026-09-22); https://gritera.com/en/about-us/ (company-site, 2026-09-22); https://data.brreg.no/enhetsregisteret/api/enheter/832332402 (registry, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
